city;X;Y
0;144;33
1;3;29
2;44;26
3;87;119
4;104;131
5;96;49
6;25;15
7;117;113
8;74;32
9;86;127
10;39;4
11;124;67
12;5;142
13;15;118
14;24;1
15;33;15
16;90;145
17;114;40
18;114;64
19;79;87
20;123;131
21;19;54
22;4;142
23;71;66
24;132;79
25;116;48
26;50;123
27;6;70
28;74;126
29;144;23
30;125;46
31;2;32
32;17;135
33;141;128
34;104;23
35;42;2
36;118;17
37;4;116
38;83;134
39;142;58
40;36;119
41;113;119
42;70;7
43;36;23
44;28;28
45;5;68
46;131;131
47;2;7
48;91;76
49;12;148
50;114;4
51;125;138
52;34;37
53;11;147
54;116;55
55;38;110
56;128;141
57;57;2
58;31;92
59;120;143
60;25;8
61;4;45
62;132;34
63;61;112
64;7;45
65;131;124
66;10;139
67;34;21
68;37;64
69;33;23
70;132;39
71;33;128
72;85;6
73;2;62
74;115;125
75;56;78
76;5;147
77;32;25
78;50;9
79;146;97
80;41;5
81;144;25
82;32;93
83;112;83
84;72;128
85;11;1
86;147;19
87;3;128
88;20;132
89;39;126
90;141;52
91;81;128
92;114;34
93;142;134
94;82;129
95;5;128
96;137;13
97;135;113
98;138;141
99;9;121
100;96;4
101;133;61
102;57;25
103;118;34
104;93;127
105;131;21
106;39;35
107;133;82
108;114;131
109;12;3
110;29;133
111;140;124
112;143;12
113;144;14
114;143;113
115;58;15
116;73;130
117;23;23
118;53;64
119;75;82
120;35;127
121;23;136
122;112;126
123;133;131
124;56;23
125;17;27
126;29;44
127;146;128
128;77;61
129;127;16
130;2;99
131;125;92
132;131;8
133;129;141
134;23;121
135;22;17
136;98;35
137;60;82
138;140;62
139;131;31
140;138;75
141;119;139
142;7;62
143;139;125
144;63;129
145;50;130
146;20;35
147;7;99
148;3;2
149;6;120
150;116;15
151;44;53
152;10;114
153;96;12
154;147;130
155;136;58
156;111;141
157;1;98
158;119;140
159;132;4
160;8;29
161;140;14
162;68;33
163;25;142
164;6;66
165;90;52
166;9;125
167;50;30
168;22;62
169;13;16
170;10;30
171;146;100
172;11;33
173;21;17
174;32;7
175;136;13
176;47;28
177;37;107
178;12;108
179;21;47
180;78;42
181;147;34
182;22;50
183;126;13
184;148;120
185;40;56
186;97;107
187;19;105
188;138;11
189;37;136
190;5;26
191;88;72
192;115;147
193;20;57
194;130;130
195;134;113
196;10;105
197;71;24
198;63;36
199;143;138
