city;X;Y
0;50;52
1;53;97
2;26;103
3;75;73
4;69;84
5;69;49
6;43;63
7;34;22
8;77;85
9;75;52
10;89;38
11;81;77
12;75;66
13;101;59
14;54;83
15;40;54
16;90;31
17;68;43
18;121;17
19;84;22
20;88;78
21;121;53
22;59;53
23;46;93
24;52;107
25;51;66
26;73;62
27;93;49
28;59;105
29;60;87
30;107;104
31;102;48
32;100;50
33;99;123
34;84;58
35;60;81
36;7;85
37;67;66
38;89;56
39;36;146
40;28;92
41;49;101
42;80;64
43;45;80
44;63;62
45;95;107
46;14;1
47;71;75
48;81;74
49;72;62
50;51;60
51;103;78
52;62;57
53;64;69
54;93;117
55;100;100
56;60;70
57;54;111
58;97;66
59;56;81
60;71;29
61;95;23
62;68;74
63;48;50
64;74;61
65;82;69
66;29;45
67;62;45
68;64;22
69;87;45
70;22;24
71;9;125
72;85;79
73;35;45
74;100;108
75;78;77
76;83;66
77;87;132
78;32;31
79;49;60
80;86;74
81;50;42
82;95;81
83;121;135
84;45;48
85;86;59
86;107;84
87;43;22
88;87;106
89;78;73
90;44;78
91;25;33
92;28;62
93;79;72
94;59;81
95;84;62
96;79;46
97;73;87
98;21;114
99;74;25
100;75;34
101;42;78
102;86;65
103;41;74
104;113;78
105;61;86
106;69;109
107;64;107
108;104;34
109;61;73
110;62;85
111;38;33
112;80;87
113;141;39
114;132;76
115;48;49
116;66;110
117;42;104
118;80;78
119;115;98
120;94;53
121;134;104
122;79;2
123;82;85
124;121;90
125;103;39
126;142;122
127;87;21
128;35;77
129;34;34
130;59;57
131;51;111
132;69;85
133;85;65
134;42;99
135;66;65
136;44;140
137;40;25
138;115;27
139;68;62
140;74;76
141;39;115
142;71;140
143;88;76
144;76;75
145;80;117
146;44;44
147;79;85
148;66;80
149;68;85
150;18;89
151;87;75
152;73;78
153;22;81
154;89;85
155;45;38
156;71;62
157;104;118
158;58;20
159;81;124
160;36;68
161;51;77
162;84;65
163;96;140
164;50;46
165;24;42
166;84;75
167;53;96
168;69;71
169;69;94
170;66;67
171;115;128
172;63;72
173;110;60
174;58;64
175;103;67
176;106;103
177;63;87
178;46;40
179;34;76
180;61;91
181;84;128
182;124;56
183;110;88
184;92;49
185;101;77
186;105;41
187;92;72
188;67;80
189;69;80
190;62;66
191;78;79
192;78;60
193;41;83
194;129;19
195;77;65
196;62;129
197;85;76
198;46;78
199;104;31
