city;X;Y
0;65;145
1;7;48
2;103;28
3;34;95
4;10;97
5;81;65
6;111;140
7;35;38
8;42;20
9;42;145
10;51;54
11;141;112
12;59;83
13;30;75
14;3;140
15;63;34
16;131;62
17;141;33
18;106;96
19;71;98
20;76;145
21;92;129
22;69;108
23;50;112
24;33;23
25;147;114
26;123;117
27;27;41
28;70;23
29;103;116
30;131;4
31;21;110
32;74;38
33;50;108
34;23;6
35;89;31
36;149;87
37;103;92
38;51;148
39;36;2
40;1;127
41;144;113
42;47;133
43;115;45
44;28;41
45;103;125
46;85;84
47;28;13
48;111;8
49;145;67
50;130;86
51;63;81
52;54;54
53;61;59
54;144;54
55;5;34
56;122;94
57;131;125
58;33;121
59;57;31
60;105;88
61;95;106
62;81;66
63;19;123
64;125;25
65;66;92
66;3;145
67;23;85
68;139;136
69;124;40
70;116;144
71;134;86
72;69;127
73;132;108
74;92;3
75;14;92
76;44;107
77;33;74
78;63;62
79;7;142
80;22;100
81;136;26
82;26;59
83;102;48
84;86;22
85;97;57
86;81;27
87;42;103
88;119;92
89;88;145
90;20;119
91;139;40
92;137;81
93;85;31
94;102;47
95;45;142
96;107;74
97;51;123
98;29;117
99;71;134
100;42;132
101;105;72
102;32;78
103;63;16
104;29;24
105;19;140
106;71;95
107;50;57
108;2;80
109;56;110
110;64;138
111;75;112
112;91;36
113;38;32
114;4;106
115;147;63
116;85;102
117;46;147
118;74;30
119;70;61
120;8;40
121;78;64
122;38;98
123;129;102
124;96;63
125;51;111
126;68;10
127;13;57
128;104;51
129;90;44
130;124;26
131;52;63
132;69;78
133;83;111
134;1;116
135;136;3
136;37;92
137;114;81
138;93;67
139;142;33
140;145;31
141;40;51
142;141;24
143;112;58
144;24;147
145;133;42
146;12;8
147;27;116
148;26;83
149;136;4
150;20;4
151;4;123
152;19;81
153;4;38
154;94;114
155;26;112
156;134;129
157;106;17
158;104;125
159;127;1
160;49;126
161;111;7
162;81;52
163;41;114
164;56;62
165;1;110
166;26;68
167;65;62
168;26;97
169;92;105
170;5;27
171;22;52
172;119;118
173;50;117
174;54;68
175;53;30
176;116;101
177;71;112
178;95;70
179;12;64
180;93;27
181;5;116
182;125;12
183;10;143
184;72;82
185;61;114
186;32;9
187;93;98
188;111;86
189;35;117
190;145;29
191;103;138
192;50;134
193;24;61
194;73;61
195;130;121
196;105;104
197;2;39
198;60;128
199;1;105
