tests
value;time;heuristic;distribution
15647;3;BAD_SOL;uniform
10042;2;BAD_SOL;normal
16645;1;BAD_SOL;antinormal
15348;1;BAD_SOL;uniform
9744;0;BAD_SOL;normal
17744;10;BAD_SOL;antinormal
16135;1;BAD_SOL;uniform
10391;2;BAD_SOL;normal
18849;0;BAD_SOL;antinormal
1860;350;BEST_INSERT;uniform
1491;238;BEST_INSERT;normal
1748;238;BEST_INSERT;antinormal
1898;232;BEST_INSERT;uniform
1592;238;BEST_INSERT;normal
1747;252;BEST_INSERT;antinormal
1855;249;BEST_INSERT;uniform
1534;239;BEST_INSERT;normal
1748;230;BEST_INSERT;antinormal
1641;140;FURTHEST;uniform
1354;131;FURTHEST;normal
1541;141;FURTHEST;antinormal
1728;135;FURTHEST;uniform
1455;138;FURTHEST;normal
1551;136;FURTHEST;antinormal
1664;138;FURTHEST;uniform
1406;138;FURTHEST;normal
1552;135;FURTHEST;antinormal
1779;2089;MERGE;uniform
1480;1830;MERGE;normal
1673;2150;MERGE;antinormal
1867;1952;MERGE;uniform
1582;1784;MERGE;normal
1677;2070;MERGE;antinormal
1795;1927;MERGE;uniform
1511;1875;MERGE;normal
1722;2080;MERGE;antinormal
1886;127;NEAREST;uniform
1582;125;NEAREST;normal
1790;123;NEAREST;antinormal
1940;127;NEAREST;uniform
1640;127;NEAREST;normal
1744;126;NEAREST;antinormal
1864;131;NEAREST;uniform
1579;125;NEAREST;normal
1809;125;NEAREST;antinormal
